x,y
-7.6875,-5.1875
-7.5,-5.375
-7.3125,-5.375
-7.125,-5.375
-6.9375,-5.375
-6.75,-5.375
-6.5625,-5.375
-6.375,-5.5625
-6.1875,-5.5625
-6.0,-5.5625
-5.8125,-5.5625
-5.625,-5.5625
-5.4375,-5.75
-5.25,-5.75
-5.0625,-5.75
-4.875,-5.75
-4.6875,-5.75
-4.5,-5.75
-4.3125,-5.75
-4.125,-5.75
-3.9375,-5.9375
-3.75,-5.9375
-3.5625,-5.9375
-3.375,-5.9375
-3.1875,-5.9375
-3.0,-6.125
-2.8125,-6.125
-2.625,-6.125
-2.4375,-6.125
-2.25,-6.125
-2.0625,-6.3125
-1.875,-6.3125
-1.6875,-6.3125
-1.5,-6.125
-1.3125,-5.9375
-1.3125,-5.75
-1.3125,-5.5625
-1.3125,-5.375
-1.3125,-5.1875
-1.3125,-5.0
-1.3125,-4.8125
-1.3125,-4.625
-1.3125,-4.4375
-1.125,-4.25
-1.125,-4.0625
-0.9375,-3.875
-0.75,-3.6875
-0.75,-3.5
-0.5625,-3.3125
-0.5625,-3.125
-0.375,-2.9375
-0.1875,-2.75
-0.1875,-2.5625
-0.1875,-2.375
-0.1875,-2.1875
-0.1875,-2.0
0.0,-1.8125
0.0,-1.625
