time[s],v[m/s],w[rad/s],wp_x,wp_y,theta_wp[rad]
17.60,2.00,-1.57,-31.05,20.05,0.10
17.70,2.00,1.00,-31.19,20.19,0.25
17.80,2.00,-1.03,-31.33,20.33,0.16
17.90,2.00,1.00,-31.47,20.47,0.26
18.00,2.00,-0.38,-31.61,20.61,0.16
18.10,2.00,1.00,-31.75,20.75,0.20
18.20,2.00,-0.31,-31.89,20.89,0.10
18.30,2.00,1.00,-32.05,21.00,0.34
18.40,2.00,1.00,-32.28,21.00,0.26
18.50,2.00,1.00,-32.51,21.00,0.18
18.60,2.00,1.00,-32.74,21.00,0.10
18.70,2.00,0.38,-32.97,21.00,0.02
18.80,2.00,-1.57,-33.00,21.35,-0.46
18.90,2.00,0.43,-33.00,21.71,-0.36
19.00,2.00,1.00,-33.03,22.00,-0.04
19.10,2.00,-1.57,-33.28,22.00,-0.13
19.20,2.00,1.00,-33.51,22.00,0.04
19.30,2.00,-1.57,-33.76,22.00,-0.04
19.40,2.00,1.00,-33.99,22.00,0.13
19.50,2.00,-1.57,-34.00,22.34,-0.40
19.60,2.00,1.00,-34.00,22.66,-0.29
19.70,2.00,-1.57,-34.00,22.96,-0.43
19.80,2.00,1.00,-34.23,23.00,0.14
19.90,2.00,-1.57,-34.49,23.00,0.06
20.00,2.00,1.00,-34.75,23.00,0.24
20.10,2.00,-0.73,-35.00,23.00,0.16
20.20,2.00,-1.57,-35.00,23.33,-0.19
20.30,2.00,1.00,-35.00,23.63,-0.07
20.40,2.00,-1.57,-35.00,23.93,-0.20
20.50,2.00,1.00,-35.21,24.00,0.36
20.60,2.00,0.67,-35.47,24.00,0.29
20.70,2.00,1.00,-35.72,24.00,0.26
20.80,2.00,1.00,-35.97,24.00,0.18
20.90,2.00,-1.57,-36.00,24.29,-0.34
21.00,2.00,1.00,-36.00,24.60,-0.23
21.10,2.00,-1.57,-36.00,24.89,-0.36
21.20,2.00,1.00,-36.17,25.00,0.19
21.30,2.00,-1.13,-36.45,25.00,0.12
21.40,2.00,1.00,-36.71,25.00,0.26
21.50,2.00,-0.01,-36.97,25.00,0.19
21.60,2.00,-1.57,-37.00,25.28,-0.24
21.70,2.00,1.00,-37.00,25.58,-0.11
21.80,2.00,-1.57,-37.00,25.86,-0.24
21.90,2.00,1.00,-37.15,26.00,0.31
22.00,2.00,0.16,-37.42,26.00,0.24
22.10,2.00,1.00,-37.69,26.00,0.25
22.20,2.00,1.00,-37.95,26.00,0.18
22.30,2.00,1.00,-38.20,26.00,0.10
22.40,2.00,0.48,-38.44,26.00,0.02
22.50,2.00,1.00,-38.68,26.00,-0.01
22.60,2.00,-1.28,-38.92,26.00,-0.09
22.70,2.00,1.00,-39.15,26.00,0.05
22.80,2.00,-1.57,-39.38,26.00,-0.04
22.90,2.00,1.00,-39.61,26.00,0.13
23.00,2.00,-1.57,-39.84,26.00,0.05
23.10,2.00,1.00,-40.07,26.00,0.22
23.20,2.00,-0.92,-40.29,26.00,0.14
23.30,2.00,1.00,-40.51,26.00,0.25
23.40,2.00,0.02,-40.73,26.00,0.16
23.50,2.00,1.00,-40.94,26.00,0.18
23.60,2.00,1.00,-41.42,25.00,0.25
23.70,2.00,1.00,-41.62,25.00,0.16
